segmentNo	firstIdx	肝	心	脾	肺	腎	精	氣	神	血	痰	鬱	陰	陽	表	裏	寒	熱	虛	實	風	暑	濕	燥	火
87	598646	0	40	11	7	16	20	42	17	27	23	2	20	21	2	0	7	33	39	9	21	3	13	9	33
88	605607	8	47	6	21	12	13	33	16	30	12	1	13	17	0	0	5	21	14	17	5	0	1	2	12
89	612568	6	38	6	0	1	1	50	17	76	11	6	7	6	0	0	11	24	11	0	24	1	8	0	10
90	619529	4	48	9	4	1	3	50	22	57	18	5	5	5	2	1	17	95	21	9	49	0	1	0	8
91	626490	23	18	12	0	4	1	48	9	50	6	7	19	27	7	12	33	75	47	9	22	1	4	2	13
92	633451	1	28	6	13	1	3	13	13	37	3	3	17	1	1	3	12	28	19	5	32	0	21	4	18
93	640412	2	18	1	2	1	0	18	6	45	2	2	3	3	7	8	3	34	16	5	71	0	3	3	17
94	647373	6	22	10	6	6	0	32	18	35	5	1	7	9	0	1	11	20	9	7	31	1	8	2	34
95	654334	3	24	21	2	9	11	67	9	52	38	20	13	15	0	1	28	42	45	4	69	1	11	10	14
96	661295	8	24	15	8	4	3	64	14	18	12	3	2	7	0	2	51	43	18	4	76	14	27	5	4
97	668256	0	40	20	11	4	5	67	24	43	19	7	14	10	1	0	15	56	52	7	10	2	5	2	18
98	675217	7	23	8	10	1	2	35	12	39	4	0	8	8	3	6	24	61	23	7	37	0	4	3	5
99	682178	8	22	2	0	7	6	34	2	48	3	1	2	2	0	1	8	28	4	3	13	0	4	1	22
100	689139	9	21	5	5	14	10	102	8	41	22	19	72	64	16	14	81	90	47	24	24	2	42	31	78
